"Reference","Qty","Value","Taobao"
"C1,C2","2","1000u 50V (E)","https://item.taobao.com/item.htm?id=522579424493&spm=a312a.7700824.w4002-24706531953.16.3bd26a4bk63G7C&skuId=4292850932858"
"C3,C4,C7","3","0.1u 50V 1206 (C)","https://item.taobao.com/item.htm?id=522554243102&spm=a312a.7700824.w4002-24706531953.17.fe606a4bCNR8e2"
"C5","1","470u 50V (E)","https://item.taobao.com/item.htm?id=565000050337&spm=a312a.7700824.w4002-24706531953.34.74926a4bMb6XJ9&skuId=4839680676732"
"C6,C8,C9,C10,C11","5","100u 50V (E)","https://item.taobao.com/item.htm?id=564996742055&skuId=5731925888317&spm=a312a.7700824.w4002-24706531953.48.53e36a4bPL94Ez"
"D1","1","14.7V","https://item.taobao.com/item.htm?abbucket=6&id=695101953366&mi_id=0000Lj0OrKckmNDEqR02yqyVvRgOOdZIw3nrKlq8ddxx11c&ns=1&priceTId=2100c90b17757005854525767e0ce4&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22af7c8d7f05a54f7247d12edd0880722e%22%7D&xxc=taobaoSearch"
"D2","1","3.3V","https://item.taobao.com/item.htm?abbucket=6&id=697021351088&mi_id=00009NgjkfjPOk4fE4dF9ntU5yiXDtbjPUJPpfMJDYL5y7A&ns=1&priceTId=2100c90b17757006670347497e0ce4&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22cc7856136ae63d2384fad21ed21e15bf%22%7D&xxc=taobaoSearch"
"D3","1","SK1010C","https://item.taobao.com/item.htm?id=661190438436&spm=a312a.7700824.w4002-24706531953.9.2afd6a4bd02hmB"
"D4","1","SMAJ6.0A","https://item.taobao.com/item.htm?id=626801460817&spm=a312a.7700824.w4002-24706531953.11.f2136a4bZAuDdV"
"D5,D6,D7,D8","4","Green 0805","https://item.taobao.com/item.htm?id=522554271548&spm=a312a.7700824.w4002-24706531953.9.89b16a4bc8cz26&skuId=5766142345201"
"F1","1","30A","https://item.taobao.com/item.htm?id=646550973988&mi_id=0000hkOXLK6LXxrt8MuhFgx5nmmx4QMgDYVCkCBzS87gLwo&spm=a1z02.1.item.goods&upStreamPrice=131&skuId=5317343647485"
